PCA Components,Distance,K,Accuracy
50,euclidean,3,0.2775
50,euclidean,4,0.29
50,euclidean,9,0.3225
50,euclidean,20,0.3025
50,euclidean,47,0.305
50,manhattan,3,0.255
50,manhattan,4,0.2825
50,manhattan,9,0.3
50,manhattan,20,0.2975
50,manhattan,47,0.2775
50,minkowski,3,0.255
50,minkowski,4,0.275
50,minkowski,9,0.3175
50,minkowski,20,0.3075
50,minkowski,47,0.3125
50,cosine,3,0.315
50,cosine,4,0.3075
50,cosine,9,0.3575
50,cosine,20,0.35
50,cosine,47,0.3375
50,hamming,3,0.1
50,hamming,4,0.1
50,hamming,9,0.1
50,hamming,20,0.1
50,hamming,47,0.1
100,euclidean,3,0.275
100,euclidean,4,0.28
100,euclidean,9,0.3275
100,euclidean,20,0.2875
100,euclidean,47,0.31
100,manhattan,3,0.2175
100,manhattan,4,0.2375
100,manhattan,9,0.25
100,manhattan,20,0.2675
100,manhattan,47,0.26
100,minkowski,3,0.2525
100,minkowski,4,0.265
100,minkowski,9,0.3025
100,minkowski,20,0.3125
100,minkowski,47,0.2975
100,cosine,3,0.31
100,cosine,4,0.325
100,cosine,9,0.375
100,cosine,20,0.36
100,cosine,47,0.3225
100,hamming,3,0.1
100,hamming,4,0.1
100,hamming,9,0.1
100,hamming,20,0.1
100,hamming,47,0.1
