Optimizer,Learning Rate,x,f(x),Iterations,Time (s),Status
Gradient Descent,0.01,1.974451989939656,6.559645375627877,8,0.0068645477294921875,Converged
Gradient Descent,0.05,0.1729376245902675,1.8053989210063155,10000,2.260103702545166,Hit max_iter (not converged)
Gradient Descent,0.1,0.4300402646368281,3.961976704088102,10000,1.4878954887390137,Hit max_iter (not converged)
Momentum,0.01,-0.9684779574195018,3.5744518772620713,273,0.0357823371887207,Converged
Momentum,0.05,-15.10771291852098,19.56317675575028,10000,1.2970373630523682,Hit max_iter (not converged)
Momentum,0.1,-251.9750308202759,20.033180098402315,10000,1.245957374572754,Hit max_iter (not converged)
RMSprop,0.01,1.9744519910350755,6.559645375627877,56,0.015957355499267578,Converged
RMSprop,0.05,1.9981146966967804,6.588733806636029,10000,1.559793472290039,Hit max_iter (not converged)
RMSprop,0.1,2.0184820182188394,6.661309306469903,10000,1.5401532649993896,Hit max_iter (not converged)
Adagrad,0.01,1.9744534168802297,6.559645375731545,1696,0.2560250759124756,Converged
Adagrad,0.05,1.9744520483332868,6.559645375628072,94,0.00852656364440918,Converged
Adagrad,0.1,1.9744519954728166,6.5596453756278805,25,0.0,Converged
Adam,0.01,1.9744513907994146,6.559645375645857,257,0.03330659866333008,Converged
Adam,0.05,1.9744505399446841,6.559645375733901,230,0.021681785583496094,Converged
Adam,0.1,1.974456521593495,6.559645376669973,206,0.01764512062072754,Converged
